glyph_id,panel_id,glyph_shape,nominal_h_mm,glyph_index,method,measurement_procedure,reference_h_mm,unit,reference_u_mm,instrument_id,instrument_cal_ref,operator,measured_at,n_repeats,raw_readings,cross_check_status,notes
P01:BAR_I:1.20:1,P01,BAR_I,1.200000,1,SCANNER_2400DPI,PIPELINE_ESTIMATOR_ON_SCAN,1.249002,mm,0.010000,STANDIN-SCANNER,STANDIN-NO-CERTIFICATE,OP1,2026-01-01T00:00:00Z,1,,PENDING,"STAND-IN, NOT PHYSICAL EVIDENCE"
P01:BAR_I:1.20:1,P01,BAR_I,1.200000,1,MICROSCOPE,MANUAL_VISUAL_CROSSHAIR,1.273648,mm,0.010000,STANDIN-MICROSCOPE,STANDIN-NO-CERTIFICATE,OP2,2026-01-01T00:00:00Z,3,-0.015000/0.015000/1.241328/1.271328;-0.015000/0.015000/1.258648/1.288648;-0.015000/0.015000/1.275968/1.305968,PENDING,"STAND-IN, NOT PHYSICAL EVIDENCE"
P01:BAR_I:2.00:1,P01,BAR_I,2.000000,1,SCANNER_2400DPI,PIPELINE_ESTIMATOR_ON_SCAN,2.030066,mm,0.010000,STANDIN-SCANNER,STANDIN-NO-CERTIFICATE,OP1,2026-01-01T00:00:00Z,1,,PENDING,"STAND-IN, NOT PHYSICAL EVIDENCE"
P01:BAR_I:2.00:1,P01,BAR_I,2.000000,1,MICROSCOPE,MANUAL_VISUAL_CROSSHAIR,2.030656,mm,0.010000,STANDIN-MICROSCOPE,STANDIN-NO-CERTIFICATE,OP2,2026-01-01T00:00:00Z,3,-0.015000/0.015000/1.998336/2.028336;-0.015000/0.015000/2.015656/2.045656;-0.015000/0.015000/2.032976/2.062976,PENDING,"STAND-IN, NOT PHYSICAL EVIDENCE"
P01:BAR_I:3.00:1,P01,BAR_I,3.000000,1,SCANNER_2400DPI,PIPELINE_ESTIMATOR_ON_SCAN,3.033475,mm,0.010000,STANDIN-SCANNER,STANDIN-NO-CERTIFICATE,OP1,2026-01-01T00:00:00Z,1,,PENDING,"STAND-IN, NOT PHYSICAL EVIDENCE"
P01:BAR_I:3.00:1,P01,BAR_I,3.000000,1,MICROSCOPE,MANUAL_VISUAL_CROSSHAIR,3.034173,mm,0.010000,STANDIN-MICROSCOPE,STANDIN-NO-CERTIFICATE,OP2,2026-01-01T00:00:00Z,3,-0.015000/0.015000/3.001853/3.031853;-0.015000/0.015000/3.019173/3.049173;-0.015000/0.015000/3.036493/3.066493,PENDING,"STAND-IN, NOT PHYSICAL EVIDENCE"
P01:BAR_I:4.00:1,P01,BAR_I,4.000000,1,SCANNER_2400DPI,PIPELINE_ESTIMATOR_ON_SCAN,4.036244,mm,0.010000,STANDIN-SCANNER,STANDIN-NO-CERTIFICATE,OP1,2026-01-01T00:00:00Z,1,,PENDING,"STAND-IN, NOT PHYSICAL EVIDENCE"
P01:BAR_I:4.00:1,P01,BAR_I,4.000000,1,MICROSCOPE,MANUAL_VISUAL_CROSSHAIR,4.036378,mm,0.010000,STANDIN-MICROSCOPE,STANDIN-NO-CERTIFICATE,OP2,2026-01-01T00:00:00Z,3,-0.015000/0.015000/4.004058/4.034058;-0.015000/0.015000/4.021378/4.051378;-0.015000/0.015000/4.038698/4.068698,PENDING,"STAND-IN, NOT PHYSICAL EVIDENCE"
P01:H:1.20:1,P01,H,1.200000,1,SCANNER_2400DPI,PIPELINE_ESTIMATOR_ON_SCAN,1.245985,mm,0.010000,STANDIN-SCANNER,STANDIN-NO-CERTIFICATE,OP1,2026-01-01T00:00:00Z,1,,PENDING,"STAND-IN, NOT PHYSICAL EVIDENCE"
P01:H:1.20:1,P01,H,1.200000,1,MICROSCOPE,MANUAL_VISUAL_CROSSHAIR,1.244148,mm,0.010000,STANDIN-MICROSCOPE,STANDIN-NO-CERTIFICATE,OP2,2026-01-01T00:00:00Z,3,-0.015000/0.015000/1.211828/1.241828;-0.015000/0.015000/1.229148/1.259148;-0.015000/0.015000/1.246468/1.276468,PENDING,"STAND-IN, NOT PHYSICAL EVIDENCE"
P01:H:2.00:1,P01,H,2.000000,1,SCANNER_2400DPI,PIPELINE_ESTIMATOR_ON_SCAN,2.030506,mm,0.010000,STANDIN-SCANNER,STANDIN-NO-CERTIFICATE,OP1,2026-01-01T00:00:00Z,1,,PENDING,"STAND-IN, NOT PHYSICAL EVIDENCE"
